Name,Nationality,Club
Harry Kane,England,Tottenham Hotspur
Bruno Fernandes,Portugal,
Mohamed Salah,Egypt,Liverpool FC
Heung-min Son,South Korea,Tottenham Hotspur
Patrick Bamford,England,
Jamie Vardy,England,Leicester City
Marcus Rashford,England,Manchester United
Ollie Watkins,England,
Sadio Mané,Senegal,Liverpool FC
Kevin De Bruyne,Belgium,Manchester City
Callum Wilson,England,AFC Bournemouth
Matheus Pereira,Brazil,
Raheem Sterling,England,Manchester City
Dominic Calvert-Lewin,England,Everton FC
Danny Ings,England,Liverpool FC
Roberto Firmino,Brazil,Liverpool FC
Jack Harrison,England,
Jack Grealish,England,
Alexandre Lacazette,France,Arsenal FC
Ilkay Gündogan,Germany,
Chris Wood,New Zealand,Burnley FC
Michail Antonio,England,West Ham United
Riyad Mahrez,Algeria,Leicester City
James Ward-Prowse,England,Southampton FC
Raphael “Raphinha” Belloli,Brazil,
Kelechi Iheanacho,Nigeria,Leicester City
Phil Foden,England,Manchester City
Che Adams,Scotland,
Timo Werner,Germany,
Wilfried Zaha,Ivory Coast,Crystal Palace
Gareth Bale,Wales,
Pierre-Emerick Aubameyang,Gabon,Arsenal FC
Gabriel Jesus,Brazil,Manchester City
Edinson Cavani,Uruguay,
Harvey Barnes,England,
Jesse Lingard,England,Manchester United
James Maddison,England,
Jarrod Bowen,England,
Bertrand Traoré,Burkina Faso,
Nicolas Pépé,Ivory Coast,
Christian Benteke,Belgium,Crystal Palace
Tomáš Souček,Czech Republic,
Mason Mount,England,
Gylfi Sigurdsson,Iceland,
Pedro Neto,Portugal,
Eberechi Eze,England,
Pascal Groß,Germany,Brighton & Hove Albion
Anwar El Ghazi,Netherlands,
Neal Maupay,France,
Stuart Dallas,Northern Ireland,
Richarlison,Brazil,Watford FC
James Rodriguez,Colombia,
Youri Tielemens,Belgium,
Leandro Trossard,Belgium,
Diogo Jota,Portugal,
David McGoldrick,Ireland,
Rodrigo,Spain,
Ferran Torres,Spain,
Mason Greenwood,England,
Pablo Fornals,Spain,
Mateusz Klich,Poland,
Stuart Armstrong,Scotland,
Trent Alexander-Arnold,England,Liverpool FC
Joe Willock,England,
Jorginho,Italy,
Bukayo Saka,England,
Ademola Lookman,England,
John McGinn,Scotland,
Ben Chilwell,England,Leicester City
Bernardo Silva,Portugal,Manchester City
Andrew Robertson,Scotland,Liverpool FC
Aaron Cresswell,England,West Ham United
Danny Welbeck,England,Arsenal FC
Tammy Abraham,England,Swansea City
Bobby De Cordova-Reid,Jamaica,
Kai Havertz,Germany,
Anthony Martial,France,Manchester United
Fábio Silva,Portugal,
Allan Saint-Maximin,France,
Lucas Moura,Brazil,
Dwight McNeil,England,
Saïd Benrahma,Algeria,
Lucas Digne,France,
Vladimír Coufal,Czech Republic,
Rúben Neves,Portugal,
Christian Pulisic,United States,
Joelinton,Brazil,
Ashley Westwood,England,Burnley FC
Aleksandar Mitrović,Serbia,Newcastle United
Hélder Costa,Portugal,
Paul Pogba,France,Manchester United
Theo Walcott,England,Everton FC
Emile Smith Rowe,England,
Aaron Wan-Bissaka,England,
Pierre-Emile Højbjerg,Denmark,
Willian,Brazil,Chelsea FC
Andros Townsend,England,Crystal Palace
Marc Albrighton,England,Leicester City
Luke Shaw,England,
Lewis Dunk,England,Brighton & Hove Albion
Kurt Zouma,France,Stoke City
Callum Robinson,Ireland,
Sergio Agüero,Argentina,Manchester City
Scott McTominay,Scotland,
Miguel Almirón,Paraguay,
Matěj Vydra,Czech Republic,
Tanguy Ndombele,France,
Mbaye Diagne,Senegal,
Daniel Podence,Portugal,
Callum Hudson-Odoi,England,
Hakim Ziyech,Morocco,
Jeffrey Schlupp,Ghana,Crystal Palace
Abdoulaye Doucouré,France,Watford FC
Ezgjan Alioski,North Macedonia,
Timothy Castagne,Belgium,
João Cancelo,Portugal,
Jacob Murphy,England,Newcastle United
Nathan Redmond,England,Southampton FC
Serge Aurier,Ivory Coast,Tottenham Hotspur
Wilfred Ndidi,Nigeria,Leicester City
Olivier Giroud,France,Chelsea FC
John Stones,England,
Raul Jimenez,Mexico,
Ross Barkley,England,
Michael Keane,England,Everton FC
Daniel James,Wales,
Kyle Bartley,England,
Tyrone Mings,England,
Jonny Evans,Northern Ireland,West Bromwich Albion
Rodri,Spain,
Conor Gallagher,England,
Adama Traoré,Spain,
Kieran Tierney,Scotland,
Jordan Ayew,Ghana,Swansea City
Jonjo Shelvey,England,Newcastle United
Steven Bergwijn,Netherlands,
Darnell Furlong,England,
Ashley Barnes,England,Burnley FC
Ivan Cavaleiro,Portugal,
Josh Maja,Nigeria,
Billy Sharp,England,
Jannik Vestergaard,Denmark,
Takumi Minamino,Japan,
Sébastien Haller,Ivory Coast,
Craig Dawson,England,West Bromwich Albion
Angelo Ogbonna,Italy,West Ham United
Romain Saïss,Morocco,
Eddie Nketiah,England,
Gabriel Martinelli,Brazil,
Trézéguet,Egypt,
Solly March,England,
Aaron Connolly,Ireland,
Michy Batshuayi,Belgium,Chelsea FC
Ola Aina,England,
James Justin,England,
Ayoze Pérez,Spain,Newcastle United
Benjamin Mendy,France,Manchester City
Harry Maguire,England,Leicester City
Jeff Hendrick,Ireland,Burnley FC
Matt Phillips,Scotland,West Bromwich Albion
Declan Rice,England,
