name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Rolando Aarons ,Midfielder,10.0,0.0,0.0,13.0,77.0,0.0,0.0,6.0,10.0,5.0,0.0,23.0,29.0,34.0,5.0,4.0,6.0,0.0,1.0,1.0,119.0,11.9,1.0,12.0,25.0,0.0,7.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almen Abdi ,Midfielder,32.0,0.0,0.0,83.0,78.0,0.0,10.0,32.0,24.0,9.0,0.0,137.0,140.0,153.0,12.0,22.0,31.0,0.0,0.0,0.0,938.0,29.31,4.0,55.0,31.0,2.0,36.0,4.0,38.0,1.0,2.0,0.0,2.0,0.0,1.0,0.06,0.0,1.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehdi Abeid ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Adam ,Midfielder,22.0,0.0,0.0,18.0,78.0,0.0,9.0,12.0,14.0,10.0,0.0,73.0,68.0,76.0,10.0,17.0,10.0,0.0,0.0,1.0,546.0,24.82,1.0,40.0,30.0,1.0,68.0,6.0,30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Afellay ,Midfielder,31.0,0.0,0.0,27.0,81.0,0.0,10.0,11.0,12.0,5.0,0.0,162.0,117.0,110.0,41.0,14.0,16.0,0.0,0.0,2.0,1274.0,41.1,3.0,68.0,16.0,3.0,68.0,3.0,19.0,2.0,2.0,1.0,1.0,0.0,0.0,0.06,0.0,0.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Albrighton ,Midfielder,38.0,0.0,0.0,65.0,83.0,0.0,14.0,49.0,19.0,4.0,0.0,214.0,154.0,172.0,51.0,11.0,38.0,0.0,0.0,6.0,912.0,24.0,11.0,272.0,19.0,4.0,57.0,4.0,21.0,3.0,2.0,0.0,1.0,1.0,1.0,0.05,0.0,0.0,11.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleix García ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Allen ,Midfielder,19.0,0.0,0.0,28.0,68.0,0.0,3.0,14.0,8.0,3.0,0.0,73.0,59.0,56.0,7.0,3.0,11.0,0.0,0.0,1.0,410.0,21.58,1.0,5.0,40.0,2.0,19.0,0.0,14.0,0.0,2.0,0.0,2.0,0.0,0.0,0.11,0.0,0.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dele Alli ,Midfielder,33.0,0.0,0.0,71.0,75.0,0.0,27.0,61.0,32.0,18.0,0.0,175.0,203.0,272.0,30.0,37.0,44.0,0.0,0.0,9.0,1083.0,32.82,11.0,19.0,21.0,18.0,26.0,7.0,50.0,6.0,10.0,1.0,9.0,0.0,3.0,0.3,0.0,0.0,28.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Amalfitano ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammy Ameobi ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Pereira ,Midfielder,4.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,12.0,4.0,0.0,2.0,0.0,0.0,0.0,49.0,12.25,0.0,11.0,36.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Andreu ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vurnon Anita ,Midfielder,28.0,0.0,0.0,74.0,72.0,0.0,2.0,56.0,40.0,15.0,0.0,160.0,110.0,102.0,9.0,16.0,21.0,0.0,0.0,3.0,990.0,35.36,0.0,28.0,18.0,2.0,53.0,6.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ikechi Anya ,Midfielder,28.0,0.0,0.0,16.0,75.0,0.0,5.0,45.0,33.0,12.0,0.0,102.0,61.0,52.0,14.0,14.0,21.0,0.0,0.0,1.0,660.0,23.57,2.0,71.0,10.0,0.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Arter ,Midfielder,21.0,0.0,0.0,57.0,82.0,0.0,11.0,25.0,9.0,2.0,0.0,118.0,103.0,109.0,22.0,8.0,5.0,0.0,0.0,0.0,1034.0,49.24,1.0,7.0,57.0,5.0,80.0,7.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel Arteta ,Midfielder,9.0,0.0,0.0,8.0,100.0,0.0,0.0,7.0,8.0,4.0,0.0,17.0,20.0,15.0,0.0,8.0,4.0,0.0,0.0,0.0,132.0,14.67,1.0,0.0,0.0,1.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Atsu ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Bacuna ,Midfielder,31.0,0.0,0.0,48.0,90.0,0.0,7.0,56.0,53.0,16.0,0.0,157.0,110.0,124.0,25.0,26.0,24.0,0.0,2.0,0.0,1133.0,36.55,2.0,92.0,23.0,2.0,93.0,8.0,36.0,2.0,1.0,0.0,1.0,0.0,1.0,0.03,0.0,0.0,9.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barry Bannan ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Barkley ,Midfielder,38.0,0.0,0.0,34.0,65.0,0.0,38.0,17.0,18.0,15.0,0.0,186.0,250.0,228.0,116.0,29.0,31.0,0.0,0.0,8.0,1802.0,47.42,11.0,110.0,22.0,19.0,103.0,4.0,29.0,5.0,8.0,0.0,7.0,1.0,5.0,0.21,2.0,0.0,29.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Barlaser ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth Barry ,Midfielder,33.0,0.0,0.0,96.0,71.0,0.0,6.0,54.0,79.0,33.0,0.0,239.0,193.0,140.0,18.0,56.0,27.0,0.0,1.0,1.0,2061.0,62.45,3.0,33.0,27.0,5.0,185.0,5.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valon Behrami ,Midfielder,21.0,0.0,0.0,66.0,71.0,0.0,0.0,49.0,10.0,5.0,0.0,96.0,100.0,103.0,4.0,12.0,25.0,0.0,1.0,1.0,508.0,24.19,1.0,3.0,67.0,1.0,9.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismael Bennacer ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil Bentaleb ,Midfielder,5.0,0.0,0.0,2.0,50.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,8.0,8.0,1.0,5.0,2.0,0.0,0.0,0.0,97.0,19.4,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhamed Besic ,Midfielder,12.0,0.0,0.0,26.0,77.0,0.0,0.0,9.0,16.0,5.0,0.0,45.0,47.0,33.0,14.0,5.0,5.0,0.0,0.0,0.0,337.0,28.08,1.0,6.0,17.0,1.0,23.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gael Bigirimana ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Blackett-Taylor ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiram Boateng ,Midfielder,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Brady ,Midfielder,36.0,0.0,0.0,101.0,78.0,0.0,12.0,57.0,89.0,33.0,0.0,185.0,211.0,169.0,52.0,42.0,26.0,0.0,1.0,2.0,1138.0,31.61,7.0,243.0,25.0,4.0,75.0,3.0,41.0,4.0,3.0,0.0,1.0,2.0,2.0,0.08,0.0,0.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
